Company Name,Industry,ticker,Series,ISIN Code,security_id
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,13061
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,474
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,13
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,22
ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,INE622W01025,27061
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,13086
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,25780
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,21238
AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,8110
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010,23729
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,7
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,5385
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,17903
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025,13587
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,10217
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,25
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,3563
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,15083
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011,17388
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,6066
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,21614
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,30108
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016,625
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024,6018
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025,40
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011,25977
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,11343
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049,8124
Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,EQ,INE09XN01023,24715
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018,25328
Alivus Life Sciences Ltd.,Healthcare,ALIVUS,EQ,INE03Q201024,5265
